outcome,id,trait,nIV_main,p_main,FDR_main,nIV_gws,p_gws,FDR_gws
Cardiac conduction disorders,ebi-a-GCST90001649,HLA DR+ Natural Killer %Natural Killer,23,0.0004422456458498,0.323281567116254,4,0.053698927119648,0.497194129733342
Cardiac conduction disorders,ebi-a-GCST90001913,CD45 on granulocyte,15,0.0009145581640278,0.334271008952171,1,0.294382248609171,0.798084030031285
Cardiac conduction disorders,ebi-a-GCST90001483,CD39+ resting CD4 regulatory T cell Absolute Count,28,0.0021653462915528,0.460262298965819,12,0.0022162640359094,0.134527226979702
Cardiac conduction disorders,ebi-a-GCST90002046,CD45 on CD33- HLA DR+,25,0.0025185351516597,0.460262298965819,2,0.227179964996065,0.689491193763056
Cardiac conduction disorders,ebi-a-GCST90002091,CD11b on CD14+ monocyte,20,0.0038447592427369,0.562103801288136,1,0.0164765358317811,0.355532605188649
Cardiac conduction disorders,ebi-a-GCST90001557,Terminally Differentiated CD8+ T cell Absolute Count,17,0.0085269603240802,0.744029720495043,1,0.978095980220352,0.996639138617528
Cardiac conduction disorders,ebi-a-GCST90001903,CD86 on myeloid Dendritic Cell,22,0.0086027251757806,0.744029720495043,1,0.0647089559290511,0.497194129733342
Cardiac conduction disorders,ebi-a-GCST90001752,CD20 on IgD+ CD38dim B cell,28,0.0089293585292093,0.744029720495043,7,0.327595405861782,0.804270920871231
Cardiac conduction disorders,ebi-a-GCST90002005,CD16 on CD14+ CD16+ monocyte,22,0.0094910802440361,0.744029720495043,5,0.0519319817148639,0.497194129733342
Cardiac conduction disorders,ebi-a-GCST90002103,CD45RA on CD39+ resting CD4 regulatory T cell,8,0.010178245150411,0.744029720495043,1,0.0012171348927016,0.0923501099837404
Cardiac conduction disorders,ebi-a-GCST90001509,CD25++ CD45RA+ CD4 not regulatory T cell %T cell,27,0.0140850601652036,0.862594456093442,5,0.218959828770944,0.683774204478288
Cardiac conduction disorders,ebi-a-GCST90001696,CD45RA- CD28- CD8+ T cell %CD8+ T cell,50,0.0143338206239804,0.862594456093442,10,0.564149017207694,0.920533477002876
