id,trait,nIV,method,mean_F,min_F,b,se,OR,OR_L,OR_U,p,FDR
ebi-a-GCST90001554,Effector Memory CD8+ T cell Absolute Count,2,IVW,36.9148675913837,32.0459078934073,0.123093996128163,0.0295263548277393,1.13099072470045,1.06739632361184,1.19837401634485,3.0600159465705e-05,0.0185742967956829
ebi-a-GCST90001689,CD28+ CD45RA+ CD8+ T cell %CD8+ T cell,1,Wald,33.2337929241503,33.2337929241503,-0.183366068744363,0.0486831345826235,0.832463361135267,0.756702567302333,0.915809298894246,0.000165537893763546,0.0366063134011357
ebi-a-GCST90001500,Activated & resting CD4 regulatory T cell %CD4+ T cell,3,IVW,61.852562634926,47.9952538303507,-0.0911079918893772,0.0243326610584212,0.912919117715359,0.870402084886045,0.957513004577997,0.000180920824058331,0.0366063134011357
ebi-a-GCST90001480,Resting CD4 regulatory T cell Absolute Count,4,IVW,56.0093083436528,30.8436931650252,-0.0917931112039511,0.0253092770315204,0.912293873403103,0.868142598190088,0.958690557500555,0.000286892833332996,0.0406110329872981
ebi-a-GCST90001556,Effector Memory CD8+ T cell %T cell,2,IVW,46.0101291680762,45.7343749778272,0.106813829085097,0.029778157638025,1.11272707777668,1.04964146097073,1.17960427027373,0.00033452251225122,0.0406110329872981
ebi-a-GCST90001691,CD28+ CD45RA- CD8+ T cell %T cell,3,IVW,51.2823083187745,29.878503719732,0.0717583118553745,0.0220619315256721,1.07439564399207,1.02892742637969,1.12187309836872,0.00114360307505169,0.0923501099837404
ebi-a-GCST90001534,CD45RA- CD4+ T cell Absolute Count,2,IVW,40.5158154627596,32.6588244616889,0.147518396997761,0.0454035943767244,1.15895460591892,1.0602739859326,1.26681951684332,0.00115792479898138,0.0923501099837404
ebi-a-GCST90002103,CD45RA on CD39+ resting CD4 regulatory T cell,1,Wald,42.4025438592187,42.4025438592187,-0.0949551484523058,0.029353948199621,0.909413722166462,0.858568435240025,0.963270118162975,0.00121713489270169,0.0923501099837404
ebi-a-GCST90001646,Natural Killer %CD3- lymphocyte,5,IVW,40.2479140849826,31.9181203052701,0.0834556197676497,0.0271236605273446,1.08703697126899,1.03075675404158,1.14639013741353,0.00209195761463693,0.134527226979702
ebi-a-GCST90001483,CD39+ resting CD4 regulatory T cell Absolute Count,12,IVW,73.4950911920079,30.9475816247015,-0.0534295581083148,0.0174628734293173,0.947972715643265,0.916075228927877,0.980980864045194,0.00221626403590942,0.134527226979702
