Instrument_threshold,Outcome,Exclusion,IV_records_retained,Phenotypes,Nominal,Expected_nominal,FDR_significant,Smallest_FDR
P < 1 x 10-5,CONDUCTIO,MAF >= 0.5%,15430,731,37,37,0,.119
P < 1 x 10-5,AVBLOCK,MAF >= 0.5%,15430,731,38,37,0,.637
P < 1 x 10-5,CONDUCTIO,MAF >= 1%,14348,730,30,37,0,.704
P < 1 x 10-5,AVBLOCK,MAF >= 1%,14348,730,32,37,0,.988
P < 1 x 10-5,CONDUCTIO,MAF >= 2%,12852,730,37,37,0,.416
P < 1 x 10-5,AVBLOCK,MAF >= 2%,12852,730,29,37,0,.986
P < 1 x 10-5,CONDUCTIO,MAF >= 5%,10002,729,42,36,0,.794
P < 1 x 10-5,AVBLOCK,MAF >= 5%,10002,729,25,36,0,.997
P < 1 x 10-5,CONDUCTIO,MAC >= 20,16137,731,43,37,0,.119
P < 1 x 10-5,AVBLOCK,MAC >= 20,16137,731,42,37,0,.576
P < 1 x 10-5,CONDUCTIO,MAC >= 50,14704,730,35,37,0,.371
P < 1 x 10-5,AVBLOCK,MAC >= 50,14704,730,38,37,0,.796
P < 1 x 10-5,CONDUCTIO,MAC >= 100,13335,729,34,36,0,.352
P < 1 x 10-5,AVBLOCK,MAC >= 100,13335,729,34,36,0,.987
P < 5 x 10-8,CONDUCTIO,MAF >= 0.5%,1996,594,42,30,0,.565
P < 5 x 10-8,AVBLOCK,MAF >= 0.5%,1996,594,35,30,0,.234
P < 5 x 10-8,CONDUCTIO,MAF >= 1%,1919,589,40,29,0,.588
P < 5 x 10-8,AVBLOCK,MAF >= 1%,1919,589,35,29,0,.232
P < 5 x 10-8,CONDUCTIO,MAF >= 2%,1819,584,38,29,0,.591
P < 5 x 10-8,AVBLOCK,MAF >= 2%,1819,584,34,29,0,.240
P < 5 x 10-8,CONDUCTIO,MAF >= 5%,1539,559,38,28,0,.567
P < 5 x 10-8,AVBLOCK,MAF >= 5%,1539,559,40,28,0,.252
P < 5 x 10-8,CONDUCTIO,MAC >= 20,2159,605,47,30,0,.368
P < 5 x 10-8,AVBLOCK,MAC >= 20,2159,605,36,30,0,.273
P < 5 x 10-8,CONDUCTIO,MAC >= 50,1954,590,40,30,0,.575
P < 5 x 10-8,AVBLOCK,MAC >= 50,1954,590,34,30,0,.232
P < 5 x 10-8,CONDUCTIO,MAC >= 100,1858,586,39,29,0,.593
P < 5 x 10-8,AVBLOCK,MAC >= 100,1858,586,33,29,0,.231
