Outcome,Immunophenotype,GWAS Catalog accession,Instruments,R2 (%),sum(F)/n,Power at OR 1.1,Power at OR 1.2,Power at OR 1.3,Minimum detectable protective OR at 80% power,Minimum detectable harmful OR at 80% power,OR 95%CI lower,OR 95%CI upper,OR simultaneous CI lower (alpha=.05/731),OR simultaneous CI upper (alpha=.05/731),Entire 95% CI within 0.83-1.20,Entire simultaneous CI within 0.83-1.20,Entire 95% CI within 0.91-1.10,Entire simultaneous CI within 0.91-1.10,QC flag
AVBLOCK,IgD+ B cell %B cell,GCST90001391,17,11.98,0.104,0.104,0.889,1.000,0.845,1.184,0.9292,1.0587,0.8687,1.1324,yes,yes,yes,no,""
CONDUCTIO,IgD+ B cell %B cell,GCST90001391,17,11.98,0.104,0.353,0.998,1.000,0.880,1.136,0.9588,1.0393,0.9198,1.0834,yes,yes,yes,yes,""
AVBLOCK,IgD+ CD38+ B cell Absolute Count,GCST90001392,29,20.51,0.181,0.336,0.998,1.000,0.879,1.138,0.9712,1.0108,0.9514,1.0319,yes,yes,yes,yes,""
CONDUCTIO,IgD+ CD38+ B cell Absolute Count,GCST90001392,29,20.51,0.181,0.769,1.000,1.000,0.907,1.102,0.9846,1.0139,0.9698,1.0293,yes,yes,yes,yes,""
AVBLOCK,IgD+ CD38dim B cell %B cell,GCST90001393,15,10.33,0.092,0.073,0.802,0.999,0.834,1.200,0.9408,1.1086,0.8644,1.2065,yes,no,no,no,""
CONDUCTIO,IgD+ CD38dim B cell %B cell,GCST90001393,15,10.33,0.092,0.263,0.992,1.000,0.872,1.147,0.9601,1.0737,0.9062,1.1374,yes,yes,yes,no,""
AVBLOCK,IgD+ CD38dim B cell Absolute Count,GCST90001394,26,16.91,0.159,0.227,0.986,1.000,0.867,1.153,0.9944,1.0353,0.9739,1.0571,yes,yes,yes,yes,""
CONDUCTIO,IgD+ CD38dim B cell Absolute Count,GCST90001394,26,16.91,0.159,0.618,1.000,1.000,0.898,1.113,0.9884,1.0187,0.9730,1.0347,yes,yes,yes,yes,""
AVBLOCK,IgD+ CD38- B cell %B cell,GCST90001395,22,15.16,0.135,0.178,0.969,1.000,0.861,1.162,0.9924,1.0584,0.9600,1.0941,yes,yes,yes,yes,""
CONDUCTIO,IgD+ CD38- B cell %B cell,GCST90001395,22,15.16,0.135,0.529,1.000,1.000,0.893,1.120,0.9869,1.0331,0.9639,1.0578,yes,yes,yes,yes,""
AVBLOCK,IgD+ CD38- B cell Absolute Count,GCST90001396,17,11.62,0.102,0.096,0.873,1.000,0.842,1.187,1.0240,1.1649,0.9581,1.2451,yes,no,no,no,""
CONDUCTIO,IgD+ CD38- B cell Absolute Count,GCST90001396,17,11.62,0.102,0.333,0.998,1.000,0.879,1.138,1.0079,1.1102,0.9589,1.1669,yes,yes,no,no,""
AVBLOCK,Unswitched memory B cell %B cell,GCST90001397,32,22.11,0.193,0.387,0.999,1.000,0.883,1.132,0.9686,1.0393,0.9341,1.0777,yes,yes,yes,yes,""
CONDUCTIO,Unswitched memory B cell %B cell,GCST90001397,32,22.11,0.193,0.820,1.000,1.000,0.910,1.098,0.9664,1.0126,0.9435,1.0373,yes,yes,yes,yes,""
AVBLOCK,Unswitched memory B cell Absolute Count,GCST90001398,20,13.93,0.127,0.147,0.948,1.000,0.855,1.170,0.9432,1.0632,0.8867,1.1310,yes,yes,yes,no,""
CONDUCTIO,Unswitched memory B cell Absolute Count,GCST90001398,20,13.93,0.127,0.462,1.000,1.000,0.888,1.126,0.9514,1.0509,0.9038,1.1063,yes,yes,yes,no,""
AVBLOCK,IgD- CD27- B cell %B cell,GCST90001399,15,17.54,0.155,0.245,0.990,1.000,0.870,1.150,0.9786,1.1034,0.9199,1.1738,yes,yes,no,no,""
CONDUCTIO,IgD- CD27- B cell %B cell,GCST90001399,15,17.54,0.155,0.648,1.000,1.000,0.900,1.111,0.9780,1.0699,0.9337,1.1207,yes,yes,yes,no,""
AVBLOCK,IgD+ B cell Absolute Count,GCST90001400,15,10.78,0.095,0.081,0.830,0.999,0.837,1.195,0.9798,1.0292,0.9553,1.0557,yes,yes,yes,yes,""
CONDUCTIO,IgD+ B cell Absolute Count,GCST90001400,15,10.78,0.095,0.287,0.995,1.000,0.874,1.144,0.9752,1.0204,0.9527,1.0446,yes,yes,yes,yes,""
AVBLOCK,IgD- CD27- B cell Absolute Count,GCST90001401,25,19.93,0.177,0.318,0.997,1.000,0.877,1.140,0.9755,1.0860,0.9230,1.1478,yes,yes,yes,no,""
CONDUCTIO,IgD- CD27- B cell Absolute Count,GCST90001401,25,19.93,0.177,0.748,1.000,1.000,0.906,1.104,0.9996,1.0892,0.9563,1.1385,yes,yes,yes,no,""
AVBLOCK,Switched memory B cell %B cell,GCST90001402,13,9.79,0.081,0.064,0.764,0.997,0.829,1.206,0.9408,1.0884,0.8727,1.1734,yes,yes,yes,no,""
