Outcome,Instrument threshold,Immunophenotype,GWAS Catalog accession,Instruments,Cochran Q,Q df,Q P,Cochran Q (modified weights),Q P (modified weights)
CONDUCTIO,P<1e-5,CD4+CD8+ T cell Absolute Count,GCST90001594,18,13.3810636130191,17,0.710326111158863,12.5599747215085,0.76510836958263
CONDUCTIO,P<1e-5,CD25 on CD45RA- CD4 not regulatory T cell,GCST90001933,26,16.0662637080554,25,0.912841157203651,15.1416218288923,0.938009505551712
CONDUCTIO,P<1e-5,HVEM on T cell,GCST90001871,25,15.0991299772908,24,0.917824542056438,14.3658255848322,0.937951778928738
CONDUCTIO,P<1e-5,CX3CR1 on CD14+ CD16+ monocyte,GCST90001996,34,47.9917441368528,33,0.0443812767980865,42.580038692603,0.122700053959694
CONDUCTIO,P<1e-5,CD33dim HLA DR+ CD11b+ Absolute Count,GCST90001525,26,43.865432441939,25,0.0112272437184493,37.8773669498495,0.0475517539589107
CONDUCTIO,P<1e-5,CD45RA- CD4+ T cell %T cell,GCST90001536,26,25.1568147044239,25,0.453613277628272,22.2132674001462,0.623400982676165
CONDUCTIO,P<1e-5,CD45RA- CD4+ T cell %CD4+ T cell,GCST90001535,30,29.6735783305131,29,0.430429511445246,26.694731238652,0.588171157487798
CONDUCTIO,P<1e-5,Memory B cell Absolute Count,GCST90001407,17,7.82179777753675,16,0.953995168315206,7.26082577373749,0.967900033618014
CONDUCTIO,P<1e-5,CD45RA on naive CD4+ T cell,GCST90002098,33,41.3355845901691,32,0.124831040759326,36.7509439073384,0.258084429813694
CONDUCTIO,P<1e-5,CD33 on Monocytic Myeloid-Derived Suppressor Cells,GCST90001952,21,23.6495327831464,20,0.258036526953739,20.6342676342103,0.418933099092867
CONDUCTIO,P<1e-5,CD33 on Immature Myeloid-Derived Suppressor Cells,GCST90001955,23,24.1825817986354,22,0.337732081207106,21.3980731479042,0.496266812507807
CONDUCTIO,P<1e-5,CD127 on CD8+ T cell,GCST90001927,25,14.5486667525367,24,0.933272726977398,13.3043429645464,0.960836658005317
CONDUCTIO,P<1e-5,CD28+ CD45RA+ CD8+ T cell %CD8+ T cell,GCST90001689,41,64.964447739723,40,0.00753703538024492,53.7498533838454,0.0718101015504803
CONDUCTIO,P<1e-5,CD39+ CD4+ T cell Absolute Count,GCST90001660,29,26.0633678154484,28,0.569561283193972,24.9885514968792,0.628458415066566
CONDUCTIO,P<1e-5,CD33 on CD33dim HLA DR+ CD11b-,GCST90001949,22,21.4753742391547,21,0.430261331912492,19.7269858859382,0.538608371394572
CONDUCTIO,P<1e-5,Central Memory CD8+ T cell %CD8+ T cell,GCST90001549,31,21.2569960678179,30,0.879680054013265,19.2946807943396,0.933621792714317
CONDUCTIO,P<1e-5,CD64 on CD14- CD16+ monocyte,GCST90001990,20,28.5385301218004,19,0.073598813287467,25.0427014101265,0.159141445137088
CONDUCTIO,P<1e-5,CD33 on basophil,GCST90001954,22,18.4636780655248,21,0.619502222651963,17.1661364469916,0.700987291584297
CONDUCTIO,P<1e-5,CD4+ T cell Absolute Count,GCST90001590,24,25.3093126637734,23,0.33453685299782,23.2383831138052,0.446924687785707
CONDUCTIO,P<1e-5,Lymphocyte Absolute Count,GCST90001601,19,23.5858589583144,18,0.169069216917821,21.2567730686298,0.266657033387388
CONDUCTIO,P<1e-5,Naive-mature B cell Absolute Count,GCST90001409,23,16.1927125900583,22,0.806207528776041,14.848122416217,0.868672938594131
CONDUCTIO,P<1e-5,CD3 on CD28- CD8+ T cell,GCST90001865,20,14.0118121115785,19,0.783002293255496,13.1944779253705,0.828468006943215
CONDUCTIO,P<1e-5,CD27 on CD20- CD38- B cell,GCST90001797,20,18.8591908121399,19,0.4659021599004,17.0671743167995,0.585316805255823
CONDUCTIO,P<1e-5,CD4 on HLA DR+ CD4+ T cell,GCST90001959,21,39.9956189558811,20,0.00500178652107318,34.1667396410479,0.0250186412769081
CONDUCTIO,P<1e-5,CD20 on unswitched memory B cell,GCST90001760,22,15.1011875308491,21,0.817840462648069,14.0110896103545,0.869122456145889
CONDUCTIO,P<1e-5,T cell Absolute Count,GCST90001603,19,19.1542375835898,18,0.382383925254804,17.0219192838372,0.521598496228995
CONDUCTIO,P<1e-5,HLA DR+ CD4+ T cell %T cell,GCST90001625,25,41.9893366576837,24,0.0129402881709169,33.444604488472,0.0950344766713778
CONDUCTIO,P<1e-5,B cell Absolute Count,GCST90001642,30,24.2183515407979,29,0.718093452891225,21.8846636826513,0.824933599582453
CONDUCTIO,P<1e-5,CD28+ CD45RA+ CD8dim T cell Absolute Count,GCST90001666,54,60.1380198183689,53,0.233143561428184,53.5341842751451,0.453641045878634
CONDUCTIO,P<1e-5,CD24 on IgD+ CD38+ B cell,GCST90001768,25,18.1870099758058,24,0.793843428703226,16.8079003312749,0.856738569966742
CONDUCTIO,P<1e-5,Resting CD4 regulatory T cell %CD4 regulatory T cell,GCST90001481,30,52.9233344299962,29,0.00429310949734578,47.2979591050019,0.017359832384576
CONDUCTIO,P<1e-5,Secreting CD4 regulatory T cell %CD4 regulatory T cell,GCST90001493,31,32.0791229833212,30,0.363856626886757,29.4050795251182,0.496399799622376
CONDUCTIO,P<1e-5,Activated & resting CD4 regulatory T cell %CD4 regulatory T cell,GCST90001499,29,30.9918011189537,28,0.317444722027797,28.3231873882968,0.44742372414219
CONDUCTIO,P<1e-5,Activated & secreting CD4 regulatory T cell %CD4 regulatory T cell,GCST90001502,38,46.0596488878103,37,0.145975776203926,41.4289096997515,0.28349574188503
CONDUCTIO,P<1e-5,CD39+ activated CD4 regulatory T cell Absolute Count,GCST90001489,30,49.1428388903224,29,0.0111529629383475,43.1194932129214,0.0443841538473651
CONDUCTIO,P<1e-5,FSC-A on Natural Killer,GCST90001969,18,19.089781563953,17,0.323403197165722,17.6830047417823,0.409097875536319
CONDUCTIO,P<1e-5,SSC-A on Natural Killer,GCST90002076,23,37.1808940606175,22,0.022596854259399,29.6843450862241,0.126340440193563
CONDUCTIO,P<1e-5,SSC-A on Natural Killer T,GCST90002084,20,22.9153496910891,19,0.241090858163774,19.8635248237445,0.402832126968956
CONDUCTIO,P<1e-5,CD45RA- CD28- CD8+ T cell Absolute Count,GCST90001695,350,365.523668406224,349,0.260773476372881,329.984188520076,0.760499339394981
CONDUCTIO,P<1e-5,BAFF-R on IgD- CD38+ B cell,GCST90001713,15,28.2111167941554,14,0.0133371818512993,23.4679174140758,0.0530692093815707
CONDUCTIO,P<1e-5,CD14 on CD14+ CD16+ monocyte,GCST90001983,15,11.264179631285,14,0.665169208846148,10.6225163558233,0.715402579883493
CONDUCTIO,P<1e-5,CD20 on IgD+ CD24- B cell,GCST90001747,25,23.1975814358574,24,0.508160603710168,21.4904450834258,0.609651364279007
CONDUCTIO,P<1e-5,CD20 on IgD+ CD38dim B cell,GCST90001752,28,22.5628841831936,27,0.708256970839046,20.8716346020558,0.792263748968145
CONDUCTIO,P<1e-5,CD38 on naive-mature B cell,GCST90001816,26,18.7464605208058,25,0.809112365047126,16.7871463338565,0.889368722344335
CONDUCTIO,P<1e-5,IgD on IgD+ CD24+ B cell,GCST90001820,28,32.00210591981,27,0.232006242479077,28.4949314211496,0.385806253459039
CONDUCTIO,P<1e-5,CD24 on IgD+ CD38- B cell,GCST90001766,22,16.4262294968532,21,0.745245166783544,15.3122862852802,0.806962316999899
CONDUCTIO,P<1e-5,Hematopoietic Stem Cell Absolute Count,GCST90001514,19,12.8453637332144,18,0.800676415626177,12.0047295395199,0.846993217005579
CONDUCTIO,P<1e-5,CCR2 on CD14+ CD16- monocyte,GCST90002004,27,23.0644878429312,26,0.629296189212368,21.6037957917914,0.710166912603155
CONDUCTIO,P<1e-5,Monocytic Myeloid-Derived Suppressor Cells Absolute Count,GCST90001530,19,20.1219941723819,18,0.325993526715877,18.424468906819,0.428036769228449
CONDUCTIO,P<1e-5,CD3 on CD8+ T cell,GCST90001859,23,10.0657549523158,22,0.985698706546536,9.62372836020202,0.989407351963132
CONDUCTIO,P<1e-5,CD8+ Natural Killer T Absolute Count,GCST90001630,26,32.8716857263438,25,0.134307317799807,29.0107889857041,0.263465245381288
CONDUCTIO,P<1e-5,CD39+ resting CD4 regulatory T cell Absolute Count,GCST90001483,28,21.3569043176185,27,0.769293987326292,20.2316302671551,0.820896328481785
CONDUCTIO,P<1e-5,CD39+ resting CD4 regulatory T cell %CD4 regulatory T cell,GCST90001485,36,38.9768778736608,35,0.295462830060623,34.7472146063815,0.480240654640525
CONDUCTIO,P<1e-5,CD127 on CD45RA+ CD4+ T cell,GCST90001932,22,36.1651248046214,21,0.0209494729659134,31.7664877958095,0.061813648258909
CONDUCTIO,P<1e-5,HVEM on naive CD8+ T cell,GCST90001872,21,31.5278709837477,20,0.048596277788894,27.592010417282,0.119414581300242
CONDUCTIO,P<1e-5,HVEM on CD8+ T cell,GCST90001881,16,8.95839168514849,15,0.879682946545566,8.51696883019412,0.901390878725795
CONDUCTIO,P<1e-5,CD8 on CD28+ CD45RA+ CD8+ T cell,GCST90002119,22,40.9005041429805,21,0.00576810549733783,34.1364397532384,0.035038971526993
CONDUCTIO,P<1e-5,CD14+ CD16- monocyte Absolute Count,GCST90001582,28,15.6647001683168,27,0.959040229478733,14.6719302242211,0.973786114585285
CONDUCTIO,P<1e-5,IgD+ CD38+ B cell %lymphocyte,GCST90001429,25,23.6304068787267,24,0.482886339682125,21.316170824031,0.620010538160637
CONDUCTIO,P<1e-5,PDL-1 on monocyte,GCST90002002,15,14.7885706914961,14,0.392758751703555,13.8073512927187,0.464160092613286
CONDUCTIO,P<1e-5,CD45 on HLA DR+ CD8+ T cell,GCST90001921,18,14.5065616397083,17,0.630976282678951,13.3423768181554,0.712981449088806
CONDUCTIO,P<1e-5,CD28- CD8dim T cell Absolute Count,GCST90001663,28,29.517765677371,27,0.336250939981903,27.3336821651775,0.445907380751349
CONDUCTIO,P<1e-5,IgD+ CD38- B cell %B cell,GCST90001395,22,25.7835837156395,21,0.214821450524174,22.8287489417575,0.353176738647969
CONDUCTIO,P<1e-5,CD33+ HLA DR+ CD14dim Absolute Count,GCST90001520,28,28.2141719056375,27,0.399995219315943,25.6752112866286,0.536677004341169
CONDUCTIO,P<1e-5,CD4RA on Terminally Differentiated CD4+ T cell,GCST90002099,33,31.2314225149919,32,0.505278046408266,27.2070898142909,0.707950491243073
CONDUCTIO,P<1e-5,CD4 on CD45RA+ CD4+ T cell,GCST90002027,27,26.5640177319797,26,0.432462989637916,24.2133889722722,0.563764743084695
CONDUCTIO,P<1e-5,Activated CD4 regulatory T cell %CD4+ T cell,GCST90001488,19,13.8376797780323,18,0.73960971791665,11.9316798222488,0.850744629660929
CONDUCTIO,P<1e-5,Natural Killer %lymphocyte,GCST90001647,27,36.3226339732047,26,0.085893275434994,32.6374821631492,0.172877083347417
CONDUCTIO,P<1e-5,Unswitched memory B cell %lymphocyte,GCST90001432,22,15.1945420771438,21,0.813065154777971,14.0363869738071,0.868031233145381
CONDUCTIO,P<1e-5,CD4 on Effector Memory CD4+ T cell,GCST90002025,20,21.3991586371052,19,0.315170094680178,18.5100245686245,0.488647263084406
CONDUCTIO,P<1e-5,CD45RA+ CD28- CD8+ T cell Absolute Count,GCST90001698,719,739.612361646479,718,0.280197627312432,675.463527225694,0.870293158849487
CONDUCTIO,P<1e-5,CD62L on monocyte,GCST90001834,25,24.4833274214779,24,0.434255229012189,22.4696979788766,0.551254110592697
CONDUCTIO,P<1e-5,CX3CR1 on CD14- CD16+ monocyte,GCST90002012,18,26.2156120538037,17,0.0706208726250623,24.0780616732142,0.117329450144173
CONDUCTIO,P<1e-5,CD4 on CD39+ activated CD4 regulatory T cell,GCST90002067,23,20.2817157692175,22,0.565422800339999,18.6484478570794,0.666924685193628
CONDUCTIO,P<1e-5,CD28+ CD45RA- CD8dim T cell %T cell,GCST90001667,28,26.0943046694197,27,0.51337134905388,23.3622818928716,0.665405021434455
CONDUCTIO,P<1e-5,CD4 on CD28+ CD4+ T cell,GCST90002062,21,32.2503738822123,20,0.0407024262867593,26.8823847427988,0.138605562054453
CONDUCTIO,P<1e-5,CD3 on CD45RA+ CD4+ T cell,GCST90001858,32,37.2518394791774,31,0.203386272691503,33.4560907801997,0.34889726162366
CONDUCTIO,P<1e-5,FSC-A on HLA DR+ T cell,GCST90001975,19,15.6756924315579,18,0.615169305951921,14.2726664265981,0.711151302135961
CONDUCTIO,P<1e-5,SSC-A on HLA DR+ CD8+ T cell,GCST90002086,24,26.071979158999,23,0.297479968840102,22.9224683820707,0.465305994698242
CONDUCTIO,P<1e-5,CD28- CD127- CD25++ CD8+ T cell %T cell,GCST90001673,18,22.9670928707005,17,0.150325061155666,20.3663546671001,0.255920957062234
CONDUCTIO,P<1e-5,CD80 on granulocyte,GCST90002040,33,34.5775285441621,32,0.345743337254955,31.6360516594233,0.484897062385578
CONDUCTIO,P<1e-5,HLA DR+ CD8+ T cell Absolute Count,GCST90001627,34,43.9217629606547,33,0.0968777417829613,38.2193973021923,0.244292234319686
CONDUCTIO,P<1e-5,HLA DR on CD14+ CD16+ monocyte,GCST90002007,19,28.5483810282623,18,0.0541855938288145,24.5506059674344,0.13780364390144
CONDUCTIO,P<1e-5,BAFF-R on IgD+ CD38- naive B cell,GCST90001706,28,22.4723882050391,27,0.713004632694598,20.7511672662762,0.797803035650221
CONDUCTIO,P<1e-5,Transitional B cell %lymphocyte,GCST90001578,26,17.4533447447866,25,0.864698251583507,15.8542920031355,0.91909888816694
CONDUCTIO,P<1e-5,CD45 on CD8+ T cell,GCST90001917,26,22.4792170299471,25,0.607944935825267,20.1639375666713,0.738173700971239
CONDUCTIO,P<1e-5,CD19 on memory B cell,GCST90001736,24,19.0455157225882,23,0.698579647179584,17.3515534350751,0.791651318761093
CONDUCTIO,P<1e-5,CD33 on CD14+ monocyte,GCST90001946,21,28.2194627879638,20,0.104305171853516,21.8607909585777,0.348112049836759
CONDUCTIO,P<1e-5,BAFF-R on IgD- CD24- B cell,GCST90001710,22,19.7685652461497,21,0.535960034397507,17.9624798913328,0.651377358475685
CONDUCTIO,P<1e-5,FSC-A on lymphocyte,GCST90001971,17,14.0078856382598,16,0.598126344730321,12.8693218349523,0.682287486672754
CONDUCTIO,P<1e-5,FSC-A on T cell,GCST90001972,22,31.0299079184713,21,0.0731616408270613,26.4525690221868,0.189715561231494
CONDUCTIO,P<1e-5,FSC-A on CD4+ T cell,GCST90001973,25,22.8491753337836,24,0.528715820337915,20.8356994417026,0.648397874726086
CONDUCTIO,P<1e-5,SSC-A on lymphocyte,GCST90002079,21,18.9330152612372,20,0.526183873748756,17.3686558628868,0.628921826190343
CONDUCTIO,P<1e-5,SSC-A on CD4+ T cell,GCST90002081,30,24.0293573970205,29,0.727482795674198,21.2968989171995,0.848105540118579
CONDUCTIO,P<1e-5,CD86 on monocyte,GCST90001905,16,6.04732419835576,15,0.978941804098267,5.80532176363619,0.982835509407895
CONDUCTIO,P<1e-5,CD86+ plasmacytoid Dendritic Cell %Dendritic Cell,GCST90001467,26,17.7366535186128,25,0.853363487074443,16.7000156212038,0.892385236099333
CONDUCTIO,P<1e-5,CD127- CD8+ T cell %T cell,GCST90001682,14,14.0774914041138,13,0.368409369797884,11.4817736406325,0.570525337052917
CONDUCTIO,P<1e-5,CD20 on IgD- CD24- B cell,GCST90001753,28,46.4993364030751,27,0.011235491350279,38.3795627583479,0.0720563412330145
CONDUCTIO,P<1e-5,CD20 on IgD- CD27- B cell,GCST90001754,19,29.9125340709933,18,0.0383055772553124,26.5649883438914,0.0875240238318935
CONDUCTIO,P<1e-5,SSC-A on granulocyte,GCST90002078,25,26.8720936936071,24,0.310450496741588,24.4426306912109,0.436533355049434
CONDUCTIO,P<1e-5,CD28- CD4-CD8- T cell %CD4-CD8- T cell,GCST90001653,27,36.9492339962846,26,0.0755440833211581,32.2601689757433,0.184658682013853
CONDUCTIO,P<1e-5,CD28+ CD4-CD8- T cell %CD4-CD8- T cell,GCST90001656,27,36.9492339962846,26,0.0755440833211581,32.2601689757433,0.184658682013853
CONDUCTIO,P<1e-5,Naive CD8+ T cell Absolute Count,GCST90001551,28,22.2442770693663,27,0.724863137851043,20.1116165774106,0.826039560188925
CONDUCTIO,P<1e-5,CD28+ CD45RA+ CD8+ T cell Absolute Count,GCST90001690,59,57.6256384648483,58,0.489170623217364,50.841094572578,0.736169894010153
CONDUCTIO,P<1e-5,CD127- CD8+ T cell %CD8+ T cell,GCST90001683,14,14.291908773089,13,0.35361230225024,12.917255012329,0.454223301224464
CONDUCTIO,P<1e-5,CD8 on CD28+ CD45RA- CD8+ T cell,GCST90002118,14,7.09494843398421,13,0.897192347949971,6.6826749609391,0.917755784715839
CONDUCTIO,P<1e-5,Naive CD8+ T cell %T cell,GCST90001553,29,17.0462925056535,28,0.947668860223893,15.9745234995337,0.966195060676228
CONDUCTIO,P<1e-5,CD28+ CD45RA+ CD8+ T cell %T cell,GCST90001688,110,108.737817805201,109,0.489066481605492,98.2815161533071,0.759798724748983
CONDUCTIO,P<1e-5,FSC-A on CD8+ T cell,GCST90001974,18,11.4975964106306,17,0.829559390754984,10.8439008736947,0.864562683750812
CONDUCTIO,P<1e-5,CD39+ CD4+ T cell %CD4+ T cell,GCST90001659,25,30.7822616522771,24,0.160160544248872,29.1742202112239,0.213642958654636
CONDUCTIO,P<1e-5,CD25++ CD45RA+ CD4 not regulatory T cell Absolute Count,GCST90001507,26,25.3160118597256,25,0.444779845618999,22.5665206627522,0.60285954512605
CONDUCTIO,P<1e-5,CD45RA on resting CD4 regulatory T cell,GCST90002102,29,22.5878052420607,28,0.753380343509634,20.8677966330347,0.830817323537212
CONDUCTIO,P<1e-5,CD8+ Natural Killer T %lymphocyte,GCST90001632,27,30.8706981647535,26,0.233120205943995,27.368777241666,0.390198306107002
CONDUCTIO,P<1e-5,Granulocytic Myeloid-Derived Suppressor Cells Absolute Count,GCST90001524,21,25.7353401263316,20,0.174731777066676,22.7497713784952,0.301247696085704
CONDUCTIO,P<1e-5,CD19 on IgD- CD24- B cell,GCST90001731,23,33.6259451844724,22,0.0535948685756641,30.3099634002513,0.111123208837552
CONDUCTIO,P<1e-5,CD19 on IgD- CD27- B cell,GCST90001732,26,31.2151949565668,25,0.181991727153275,27.9998436034252,0.307860466114908
CONDUCTIO,P<1e-5,Monocyte Absolute Count,GCST90001583,27,30.6721157894523,26,0.240706951400306,26.7813204757772,0.420869150878611
CONDUCTIO,P<1e-5,CCR2 on CD14+ CD16+ monocyte,GCST90001992,37,37.9884707925912,36,0.378858917310857,34.358293634525,0.546779224418165
CONDUCTIO,P<1e-5,SSC-A on plasmacytoid Dendritic Cell,GCST90002072,26,14.8928658100726,25,0.943851101436903,13.7368692365981,0.96612742554331
CONDUCTIO,P<1e-5,CD3 on HLA DR+ CD4+ T cell,GCST90001849,26,27.4107664044772,25,0.335681158031657,24.6053868274987,0.484654125608935
CONDUCTIO,P<1e-5,CCR2 on granulocyte,GCST90002018,17,22.6681794748754,16,0.122896855338388,20.0314306466688,0.218808358315695
CONDUCTIO,P<1e-5,CD4 on CD4+ T cell,GCST90002022,22,20.4042643836287,21,0.495799754704701,18.7816120881827,0.599147156940347
CONDUCTIO,P<1e-5,CD3 on CD39+ CD8+ T cell,GCST90001866,16,16.6711155524994,15,0.33890220158362,15.2605336680715,0.43281843353839
