Outcome,Instrument set,Immunophenotype,GWAS Catalog accession,Instruments,Method,beta,SE,OR,OR 95%CI lower,OR 95%CI upper,P,FDR
CONDUCTIO,all instruments,CD4+CD8+ T cell Absolute Count,GCST90001594,18,IVW,-0.0134066367109978,0.0227343684834899,0.98668283197195,0.943682033082036,1.03164305007337,0.555386497495243,0.976120388751442
CONDUCTIO,all instruments,CD25 on CD45RA- CD4 not regulatory T cell,GCST90001933,26,IVW,0.00306748460830914,0.0112816826776249,1.00307219415347,0.981135589432796,1.02549926587164,0.785699246007611,0.978772201123906
CONDUCTIO,all instruments,HVEM on T cell,GCST90001871,25,IVW,-0.00850829864817512,0.0120514814170912,0.991527794488502,0.968381456956609,1.01522737778661,0.480190574730523,0.976120388751442
CONDUCTIO,all instruments,CX3CR1 on CD14+ CD16+ monocyte,GCST90001996,34,IVW,-7.52492503129358e-05,0.0132561948147286,0.999924753580841,0.974279173063249,1.02624539297095,0.995470804900582,0.998945285556077
CONDUCTIO,all instruments,CD33dim HLA DR+ CD11b+ Absolute Count,GCST90001525,26,IVW,-0.033092276432546,0.0170170252464048,0.967449282701542,0.935713774339694,1.00026112713816,0.0518162799720156,0.924454769589635
CONDUCTIO,all instruments,CD45RA- CD4+ T cell %T cell,GCST90001536,26,IVW,0.00325572354321921,0.0057570904974269,1.00326102916743,0.99200396589053,1.01464583535463,0.571723228043618,0.976120388751442
CONDUCTIO,all instruments,CD45RA- CD4+ T cell %CD4+ T cell,GCST90001535,30,IVW,0.0182676987606743,0.014968003676453,1.01843557384211,0.988991454003118,1.04875630003557,0.222294366448042,0.96753368259999
CONDUCTIO,all instruments,Memory B cell Absolute Count,GCST90001407,17,IVW,-0.00264888255730806,0.0101098560676347,0.997354622636461,0.977786240874319,1.01731462533658,0.793313795925911,0.978772201123906
CONDUCTIO,all instruments,CD45RA on naive CD4+ T cell,GCST90002098,33,IVW,-0.017715220913348,0.0118169988213124,0.982440771110024,0.959947639108451,1.00546095372001,0.133839834066124,0.96753368259999
CONDUCTIO,all instruments,CD33 on Monocytic Myeloid-Derived Suppressor Cells,GCST90001952,21,IVW,-0.0118203082345777,0.0103633453484186,0.988249277165322,0.968378297237845,1.00852800667208,0.254041377496923,0.96753368259999
CONDUCTIO,all instruments,CD33 on Immature Myeloid-Derived Suppressor Cells,GCST90001955,23,IVW,-0.010780490349097,0.0104272337668099,0.989277410882309,0.969264377863298,1.00970366603118,0.301193077454445,0.96753368259999
CONDUCTIO,all instruments,CD127 on CD8+ T cell,GCST90001927,25,IVW,-0.00628304695859503,0.0192502746910304,0.993736650106828,0.956940957004024,1.03194718810785,0.744131275159543,0.978772201123906
CONDUCTIO,all instruments,CD28+ CD45RA+ CD8+ T cell %CD8+ T cell,GCST90001689,41,IVW,0.000922299504137857,0.0023748035953465,1.00092272495311,0.996274640889689,1.00559249448817,0.697743166640962,0.976120388751442
CONDUCTIO,all instruments,CD39+ CD4+ T cell Absolute Count,GCST90001660,29,IVW,-0.00269353466057393,0.0103163265195876,0.997310089649112,0.977346986780001,1.01768095504428,0.794019741662926,0.978772201123906
CONDUCTIO,all instruments,CD33 on CD33dim HLA DR+ CD11b-,GCST90001949,22,IVW,-0.0107901297834859,0.0100061201651768,0.989267874853576,0.970055371292494,1.00886089307806,0.280876249357132,0.96753368259999
CONDUCTIO,all instruments,Central Memory CD8+ T cell %CD8+ T cell,GCST90001549,31,IVW,-0.00698251270474713,0.0197536154451571,0.993041808396699,0.9553289008691,1.03224348423529,0.72372844096732,0.976120388751442
CONDUCTIO,all instruments,CD64 on CD14- CD16+ monocyte,GCST90001990,20,IVW,0.0286778760909607,0.0256329595715021,1.02909304560347,0.978668088911762,1.08211610096231,0.263230117532033,0.96753368259999
CONDUCTIO,all instruments,CD33 on basophil,GCST90001954,22,IVW,-0.00390882112307947,0.00686553625461833,0.996098808374189,0.982784635175256,1.0095933539575,0.569125751323146,0.976120388751442
CONDUCTIO,all instruments,CD4+ T cell Absolute Count,GCST90001590,24,IVW,0.0191942223315946,0.0152383591319933,1.01937961567771,0.989383792396781,1.05028484279284,0.207814046815765,0.96753368259999
CONDUCTIO,all instruments,Lymphocyte Absolute Count,GCST90001601,19,IVW,0.0145878362498571,0.023363376079687,1.01469475801952,0.969277451065379,1.06224017779491,0.532372112989165,0.976120388751442
CONDUCTIO,all instruments,Naive-mature B cell Absolute Count,GCST90001409,23,IVW,0.0172557768518702,0.0123635779373221,1.01740551782825,0.993047445711908,1.04236105956178,0.162806532593384,0.96753368259999
CONDUCTIO,all instruments,CD3 on CD28- CD8+ T cell,GCST90001865,20,IVW,-0.0302951568838936,0.019833862609301,0.970159142136115,0.933168468858827,1.00861612075394,0.126650110548732,0.96753368259999
CONDUCTIO,all instruments,CD27 on CD20- CD38- B cell,GCST90001797,20,IVW,0.0165832220155573,0.0184947920468983,1.01672148687669,0.980525555054879,1.05425358528152,0.369909555142095,0.976120388751442
CONDUCTIO,all instruments,CD4 on HLA DR+ CD4+ T cell,GCST90001959,21,IVW,0.00846638666671134,0.0289235567070112,1.00850232787743,0.952920514393966,1.06732610954549,0.769739269693244,0.978772201123906
CONDUCTIO,all instruments,CD20 on unswitched memory B cell,GCST90001760,22,IVW,0.00197424011681213,0.0140005006954648,1.00197619021194,0.974854800882299,1.02985212243197,0.887860377083182,0.983378204310675
CONDUCTIO,all instruments,T cell Absolute Count,GCST90001603,19,IVW,-0.0290969894686956,0.0205126371761336,0.971322251868723,0.93304508346342,1.01116969983189,0.156047489359579,0.96753368259999
CONDUCTIO,all instruments,HLA DR+ CD4+ T cell %T cell,GCST90001625,25,IVW,-0.0204016596727594,0.0285397795781438,0.979805046085778,0.926501487599602,1.03617526920803,0.474701773629194,0.976120388751442
CONDUCTIO,all instruments,B cell Absolute Count,GCST90001642,30,IVW,-0.00875706287516592,0.0184661136708226,0.991281168520297,0.956044665612671,1.02781636717073,0.635340621361412,0.976120388751442
CONDUCTIO,all instruments,CD28+ CD45RA+ CD8dim T cell Absolute Count,GCST90001666,54,IVW,0.000433360487855908,0.00153367563941902,1.00043345440208,0.997430662646552,1.0034452861427,0.777511597569639,0.978772201123906
CONDUCTIO,all instruments,CD24 on IgD+ CD38+ B cell,GCST90001768,25,IVW,-0.00847251805777753,0.0128828785316177,0.991563272573094,0.9668393207229,1.01691946370234,0.510758418638417,0.976120388751442
CONDUCTIO,all instruments,Resting CD4 regulatory T cell %CD4 regulatory T cell,GCST90001481,30,IVW,-0.00412417071320681,0.0103864004571425,0.995884321999685,0.975815726110928,1.01636564800763,0.691312811428709,0.976120388751442
CONDUCTIO,all instruments,Secreting CD4 regulatory T cell %CD4 regulatory T cell,GCST90001493,31,IVW,0.00177739649724158,0.0101440875329966,1.00177897700265,0.982057896066786,1.02189608452192,0.860910682857177,0.983238083759089
CONDUCTIO,all instruments,Activated & resting CD4 regulatory T cell %CD4 regulatory T cell,GCST90001499,29,IVW,-0.00290573382626458,0.0102935218311824,0.997098483732247,0.977183292937974,1.01741955009484,0.77772297403377,0.978772201123906
CONDUCTIO,all instruments,Activated & secreting CD4 regulatory T cell %CD4 regulatory T cell,GCST90001502,38,IVW,-0.00345969337837022,0.00322776164533399,0.996546284464944,0.990261621916386,1.00287083241598,0.283785036886302,0.96753368259999
CONDUCTIO,all instruments,CD39+ activated CD4 regulatory T cell Absolute Count,GCST90001489,30,IVW,0.00850066095693379,0.00911701924651953,1.00853689417127,0.990675052741414,1.02672078406534,0.35113255268463,0.976120388751442
CONDUCTIO,all instruments,FSC-A on Natural Killer,GCST90001969,18,IVW,-0.00757289396367958,0.0182138000170469,0.992455708152009,0.957650929147316,1.02852542890604,0.67757259452646,0.976120388751442
CONDUCTIO,all instruments,SSC-A on Natural Killer,GCST90002076,23,IVW,-0.00298322245860234,0.0212460997307513,0.997021222927892,0.956355495408235,1.03941612061768,0.888333915522704,0.983378204310675
CONDUCTIO,all instruments,SSC-A on Natural Killer T,GCST90002084,20,IVW,-0.00191762798883631,0.00996748715615862,0.998084209484997,0.978774595182918,1.01777477074497,0.847438050210375,0.980743999798171
CONDUCTIO,all instruments,CD45RA- CD28- CD8+ T cell Absolute Count,GCST90001695,350,IVW,2.84842762264255e-06,5.51257309056215e-06,1.00000284843168,0.999992043816016,1.00001365316408,0.60535532377985,0.976120388751442
CONDUCTIO,all instruments,BAFF-R on IgD- CD38+ B cell,GCST90001713,15,IVW,-0.00997395069839801,0.0328644308462953,0.990075624191798,0.928311220818978,1.05594946999992,0.761518215804891,0.978772201123906
CONDUCTIO,all instruments,CD14 on CD14+ CD16+ monocyte,GCST90001983,15,IVW,0.00373788198612195,0.0271646791319199,1.00374487657927,0.951700505154308,1.05863532886932,0.890555911427725,0.983378204310675
CONDUCTIO,all instruments,CD20 on IgD+ CD24- B cell,GCST90001747,25,IVW,0.0141908059405929,0.00866691153979301,1.01429197341007,0.997207565441396,1.03166907570414,0.101556435582019,0.924454769589635
CONDUCTIO,all instruments,CD20 on IgD+ CD38dim B cell,GCST90001752,28,IVW,0.0386644101830081,0.0147870562614806,1.03942160580704,1.00972879996505,1.0699875794925,0.00892935852920932,0.744029720495043
CONDUCTIO,all instruments,CD38 on naive-mature B cell,GCST90001816,26,IVW,-0.0113924443769527,0.0149835547798117,0.988672203784401,0.960059313296128,1.01813785148335,0.447057426762776,0.976120388751442
CONDUCTIO,all instruments,IgD on IgD+ CD24+ B cell,GCST90001820,28,IVW,0.00790815540017301,0.0133658716945265,1.00793950745223,0.981877274860861,1.03469351689294,0.554073087896513,0.976120388751442
CONDUCTIO,all instruments,CD24 on IgD+ CD38- B cell,GCST90001766,22,IVW,0.000442428669371661,0.012339366110642,1.00044252655537,0.976536912161237,1.02493335016428,0.971397932502307,0.997430722004315
CONDUCTIO,all instruments,Hematopoietic Stem Cell Absolute Count,GCST90001514,19,IVW,0.00796276152883989,0.014434952880578,1.00799454862944,0.979875509884123,1.03692050655172,0.581201475936282,0.976120388751442
CONDUCTIO,all instruments,CCR2 on CD14+ CD16- monocyte,GCST90002004,27,IVW,0.00924191202134654,0.00666535698922806,1.00928475035793,0.996185107584201,1.02255665091738,0.165576218218976,0.96753368259999
CONDUCTIO,all instruments,Monocytic Myeloid-Derived Suppressor Cells Absolute Count,GCST90001530,19,IVW,0.00757007834793,0.0135672859434962,1.00759880382999,0.981157970704126,1.03475218037625,0.57686789945244,0.976120388751442
CONDUCTIO,all instruments,CD3 on CD8+ T cell,GCST90001859,23,IVW,-0.00468310211367946,0.0126114975675569,0.99532784651118,0.971026385676216,1.02023748958241,0.710387343506005,0.976120388751442
CONDUCTIO,all instruments,CD8+ Natural Killer T Absolute Count,GCST90001630,26,IVW,0.000637289023664993,0.0234782599854273,1.00063749213546,0.955634175717387,1.04776013260042,0.978345046035104,0.998708342684933
CONDUCTIO,all instruments,CD39+ resting CD4 regulatory T cell Absolute Count,GCST90001483,28,IVW,-0.0337661962479054,0.0110110856997679,0.966797519102444,0.946155900127129,0.987889461786426,0.00216534629155286,0.460262298965818
CONDUCTIO,all instruments,CD39+ resting CD4 regulatory T cell %CD4 regulatory T cell,GCST90001485,36,IVW,0.00449104102421068,0.00348448664252272,1.00450114086289,0.997664179489175,1.01138495571875,0.197444210702206,0.96753368259999
CONDUCTIO,all instruments,CD127 on CD45RA+ CD4+ T cell,GCST90001932,22,IVW,0.0214683644830068,0.0222422420990847,1.0217004678036,0.978116563925809,1.06722642720656,0.334441215545266,0.976120388751442
CONDUCTIO,all instruments,HVEM on naive CD8+ T cell,GCST90001872,21,IVW,0.00714190237804902,0.00969797520573065,1.00716746658562,0.988203995839548,1.02649484318945,0.461467641745554,0.976120388751442
CONDUCTIO,all instruments,HVEM on CD8+ T cell,GCST90001881,16,IVW,-0.0164888522690558,0.0175932681649263,0.983646344754348,0.950305603833519,1.01815681991716,0.348642788403213,0.976120388751442
CONDUCTIO,all instruments,CD8 on CD28+ CD45RA+ CD8+ T cell,GCST90002119,22,IVW,-0.00747548188509881,0.0198676059443733,0.992552390034355,0.954644757350192,1.03196528276908,0.706720003843498,0.976120388751442
CONDUCTIO,all instruments,CD14+ CD16- monocyte Absolute Count,GCST90001582,28,IVW,-0.0182228596849674,0.0105344370788695,0.981942172648451,0.961875402092154,1.00242757879901,0.0836593907116617,0.924454769589635
CONDUCTIO,all instruments,IgD+ CD38+ B cell %lymphocyte,GCST90001429,25,IVW,0.0157891004815465,0.0164938867520946,1.01591440695206,0.983597099453982,1.04929353983017,0.338431069527659,0.976120388751442
CONDUCTIO,all instruments,PDL-1 on monocyte,GCST90002002,15,IVW,-0.00146861881276782,0.024358761086109,0.998532459080105,0.951979488095046,1.04736192775722,0.95192371462217,0.997430722004315
CONDUCTIO,all instruments,CD45 on HLA DR+ CD8+ T cell,GCST90001921,18,IVW,-0.000263737502229594,0.0136676335573031,0.999736297273448,0.973310336768689,1.02687973848525,0.98460457534633,0.998708342684933
CONDUCTIO,all instruments,CD28- CD8dim T cell Absolute Count,GCST90001663,28,IVW,-0.0187439961424891,0.0133983741667153,0.981430580099448,0.955992883965424,1.00754513941463,0.161820353760223,0.96753368259999
CONDUCTIO,all instruments,IgD+ CD38- B cell %B cell,GCST90001395,22,IVW,0.00972402874704072,0.0116681542665488,1.00977146073325,0.98694047181134,1.03313060111924,0.404629370990575,0.976120388751442
CONDUCTIO,all instruments,CD33+ HLA DR+ CD14dim Absolute Count,GCST90001520,28,IVW,-0.0139835265748391,0.00906188440374146,0.98611378880076,0.968753757118556,1.00378491161195,0.122802960939001,0.96753368259999
CONDUCTIO,all instruments,CD4RA on Terminally Differentiated CD4+ T cell,GCST90002099,33,IVW,-0.0156547065724888,0.00874286156686837,0.984467191425033,0.967741071851456,1.00148239976845,0.0733623076028154,0.924454769589635
CONDUCTIO,all instruments,CD4 on CD45RA+ CD4+ T cell,GCST90002027,27,IVW,-0.0295365518193553,0.016480529610278,0.970895388999739,0.940034793674752,1.00276911314743,0.0730995097840211,0.924454769589635
