Outcome,Immunophenotype,GWAS Catalog accession,Instruments,Method,OR,OR 95%CI lower,OR 95%CI upper,P,FDR
I9_LBBB,CD4+CD8+ T cell Absolute Count,GCST90001594,18,IVW,0.92554731614106,0.830325007598956,1.03168979204065,0.162480967615555,0.982405835569941
I9_LBBB,CD25 on CD45RA- CD4 not regulatory T cell,GCST90001933,26,IVW,1.00190485989233,0.954670064184775,1.05147672052863,0.938434942902496,0.987549834209795
I9_LBBB,HVEM on T cell,GCST90001871,25,IVW,0.985333665617622,0.935822224023568,1.0374646035068,0.574312959958819,0.984642438626707
I9_LBBB,CX3CR1 on CD14+ CD16+ monocyte,GCST90001996,34,IVW,0.967182732672967,0.914292227092922,1.02313287881171,0.244850529412473,0.982405835569941
I9_LBBB,CD33dim HLA DR+ CD11b+ Absolute Count,GCST90001525,26,IVW,0.976318898442587,0.923985045257059,1.0316169037032,0.393873612066551,0.984642438626707
I9_LBBB,CD45RA- CD4+ T cell %T cell,GCST90001536,26,IVW,0.982786295504622,0.958790594203328,1.00738253845122,0.168580371668275,0.982405835569941
I9_LBBB,CD45RA- CD4+ T cell %CD4+ T cell,GCST90001535,30,IVW,1.02585525223159,0.960788104833437,1.09532892136876,0.445150843639892,0.984642438626707
I9_LBBB,Memory B cell Absolute Count,GCST90001407,17,IVW,1.00542894600861,0.962806379198421,1.04993837526668,0.806470053895596,0.984642438626707
I9_LBBB,CD45RA on naive CD4+ T cell,GCST90002098,33,IVW,0.988424641728088,0.941186763173451,1.03803337509885,0.641220831894699,0.984642438626707
I9_LBBB,CD33 on Monocytic Myeloid-Derived Suppressor Cells,GCST90001952,21,IVW,0.983824322265958,0.944041327476453,1.0252838185267,0.43871825210171,0.984642438626707
I9_LBBB,CD33 on Immature Myeloid-Derived Suppressor Cells,GCST90001955,23,IVW,0.97652923975786,0.935827329240335,1.0190013972729,0.274207367363808,0.984642438626707
I9_LBBB,CD127 on CD8+ T cell,GCST90001927,25,IVW,0.958922677183754,0.883356180034624,1.04095349260048,0.316545071183287,0.984642438626707
I9_LBBB,CD28+ CD45RA+ CD8+ T cell %CD8+ T cell,GCST90001689,41,IVW,0.999266829730333,0.991248472967747,1.00735004817687,0.858385259531459,0.984642438626707
I9_LBBB,CD39+ CD4+ T cell Absolute Count,GCST90001660,29,IVW,0.975424547294248,0.930690927401316,1.0223082867272,0.298872136348449,0.984642438626707
I9_LBBB,CD33 on CD33dim HLA DR+ CD11b-,GCST90001949,22,IVW,1.01658252257693,0.974386614303684,1.06060572881268,0.44702859930392,0.984642438626707
I9_LBBB,Central Memory CD8+ T cell %CD8+ T cell,GCST90001549,31,IVW,1.01542783194112,0.933237523822763,1.10485664748781,0.722201848421151,0.984642438626707
I9_LBBB,CD64 on CD14- CD16+ monocyte,GCST90001990,20,IVW,1.06624140849435,0.974886018079139,1.16615760212465,0.160480603563365,0.982405835569941
I9_LBBB,CD33 on basophil,GCST90001954,22,IVW,0.99064526883331,0.958665346849691,1.02369200251868,0.574534596816339,0.984642438626707
I9_LBBB,CD4+ T cell Absolute Count,GCST90001590,24,IVW,1.00962947101576,0.948488570148145,1.07471159993456,0.7636547570479,0.984642438626707
I9_LBBB,Lymphocyte Absolute Count,GCST90001601,19,IVW,1.05464154145555,0.960376598708354,1.15815897894604,0.265420254258878,0.984642438626707
I9_LBBB,Naive-mature B cell Absolute Count,GCST90001409,23,IVW,1.01105886473483,0.959000219270582,1.06594347677668,0.683431363840533,0.984642438626707
I9_LBBB,CD3 on CD28- CD8+ T cell,GCST90001865,20,IVW,1.07512684523532,0.986055369718819,1.17224424595474,0.100644503567042,0.963734033871956
I9_LBBB,CD27 on CD20- CD38- B cell,GCST90001797,20,IVW,1.02273374283521,0.944642871052625,1.10728015929255,0.579093398592628,0.984642438626707
I9_LBBB,CD4 on HLA DR+ CD4+ T cell,GCST90001959,21,IVW,1.10651040589696,0.988604945834844,1.23847779997128,0.0782997889635103,0.963734033871956
I9_LBBB,CD20 on unswitched memory B cell,GCST90001760,22,IVW,1.03849004033341,0.97206008912479,1.10945977099286,0.262799153933298,0.984642438626707
I9_LBBB,T cell Absolute Count,GCST90001603,19,IVW,1.0125125979407,0.928694513313802,1.10389557200088,0.777900951766906,0.984642438626707
I9_LBBB,HLA DR+ CD4+ T cell %T cell,GCST90001625,25,IVW,0.992224391118805,0.902009320204776,1.09146238323522,0.872485715336208,0.984642438626707
I9_LBBB,B cell Absolute Count,GCST90001642,30,IVW,1.02812795120422,0.940147344726641,1.12434193424726,0.543342995761326,0.984642438626707
I9_LBBB,CD28+ CD45RA+ CD8dim T cell Absolute Count,GCST90001666,54,IVW,0.997884098136094,0.99123327295565,1.00457954800458,0.534718980108642,0.984642438626707
I9_LBBB,CD24 on IgD+ CD38+ B cell,GCST90001768,25,IVW,1.03556402751474,0.973693423156627,1.1013660250533,0.26620909727318,0.984642438626707
I9_LBBB,Resting CD4 regulatory T cell %CD4 regulatory T cell,GCST90001481,30,IVW,0.996170901139484,0.957476718014793,1.03642881921409,0.849464826376352,0.984642438626707
I9_LBBB,Secreting CD4 regulatory T cell %CD4 regulatory T cell,GCST90001493,31,IVW,0.973283900739563,0.92959936911266,1.01902129338044,0.247772177177012,0.982405835569941
I9_LBBB,Activated & resting CD4 regulatory T cell %CD4 regulatory T cell,GCST90001499,29,IVW,1.02266631401823,0.978175300561355,1.06918094254418,0.323327808652616,0.984642438626707
I9_LBBB,Activated & secreting CD4 regulatory T cell %CD4 regulatory T cell,GCST90001502,38,IVW,1.00449497051629,0.991981015669736,1.01716679034557,0.483177617446966,0.984642438626707
I9_LBBB,CD39+ activated CD4 regulatory T cell Absolute Count,GCST90001489,30,IVW,1.02872805678235,0.998319758709842,1.06006257572106,0.0642920089902603,0.963734033871956
I9_LBBB,FSC-A on Natural Killer,GCST90001969,18,IVW,1.011212131318,0.939529351139748,1.08836405513488,0.766297443733503,0.984642438626707
