trait,nIV,IVW_OR,IVW_p,WM_OR,WM_p,Egger_OR,Egger_p,Egger_intercept,Egger_intercept_p,Q,Q_p,I2_GX,mean_F,min_F,R2_pct,robust
HLA DR+ Natural Killer %Natural Killer,23,0.943670937133337,0.00044224564584987,0.946864646912124,0.0177437651304057,0.934939336568928,0.0133219241972191,0.00295148442327511,0.666909293364624,14.3484177575061,0.888653281736123,0.931315502387828,50.7722514017841,19.8949393675395,34.9471816330376,TRUE
CD45 on granulocyte,15,0.944237822160277,0.000914558164027826,0.950066264602494,0.03887976459226,0.939001424796342,0.00997941602726748,0.00258282105093439,0.738249464045221,16.1815146941965,0.302415540903648,0.890596260356958,22.4768440196517,19.6767460605479,11.990982208721,TRUE
CD39+ resting CD4 regulatory T cell Absolute Count,28,0.966797519102444,0.00216534629155286,0.966692605803538,0.0599365532820373,0.9634181363742,0.012691295069031,0.00243848271619522,0.72925775777474,21.3569043176185,0.769293987326292,0.884019534425555,44.2270617720396,19.950280076874,38.7557469783278,FALSE
CD45 on CD33- HLA DR+,25,1.01871536493726,0.00251853515165974,1.01466472768985,0.108217755208909,1.01825794472688,0.0146975196785777,0.00055711043463094,0.914080389017118,22.7408406302888,0.535136953044413,0.798102802095827,24.8312557449599,19.7663102429274,39.4123041584203,FALSE
Terminally Differentiated CD8+ T cell Absolute Count,17,0.94531025524987,0.00852696032408021,0.955786522355996,0.190413932674977,0.89373631915411,0.00244047550186477,0.0201578214106762,0.0639325114268812,13.670641256346,0.623235496165928,0.734716069449959,22.1925245632392,19.8093167791083,12.7146801895406,FALSE
CD45RA on CD39+ resting CD4 regulatory T cell,8,0.943164303996743,0.010178245150411,0.911845501280968,0.00218357713434125,0.934702946472075,0.0300106713694166,0.0064697120497126,0.645624377133933,7.7100851924981,0.358851097257331,0.86953091842186,24.9410781999081,19.6605624998954,8.21309567181208,TRUE
CD25++ CD45RA+ CD4 not regulatory T cell %T cell,27,0.980425224023051,0.0140850601652036,0.973975653484281,0.0190741954990556,0.97981519544661,0.0398937245038453,0.0006920612440056,0.914539746040505,18.7019902877977,0.848762146150972,0.8768318125601,28.3778478841546,19.593049200863,25.6471840643681,TRUE
IgD+ CD38- B cell Absolute Count,17,1.05779096020001,0.0226873487317135,1.05642447454913,0.125859515546536,1.19294160982233,0.00208560057565843,-0.0255295484508167,0.0201488301421222,15.3450798021291,0.499524313553508,0.767587861558964,21.849541127854,19.8034161445216,11.6219336807004,FALSE
CD28- CD8dim T cell %CD8dim T cell,15,0.983874492940478,0.0232121598680056,0.987872416120807,0.11431219741424,0.984588065569353,0.0531189452184282,-0.00178230160153715,0.813997144149515,20.2629141005596,0.122067865904229,0.92773645527654,23.2978621771106,19.7588156884982,10.6004303086631,FALSE
CD25 on activated & secreting CD4 regulatory T cell,21,0.979171881013655,0.0240706008555036,0.979658124724943,0.124200757238676,0.978948260209576,0.0563188767309268,0.00024493342476001,0.970139919388423,15.5749679366966,0.742617739751698,0.877250692376317,22.0491946802951,19.7864672104537,14.6673912535215,FALSE
CD62L- CD86+ myeloid Dendritic Cell Absolute Count,19,1.03329009948515,0.0288943754491401,1.04194616552795,0.0265289127001482,1.04616103555975,0.0280322022870005,-0.00738173626096953,0.374907870497662,20.3038263256404,0.31597674826395,0.974735649971077,85.3722993347851,19.721673553719,46.4917629235629,TRUE
CD24 on switched memory B cell,38,1.02195017477551,0.0329611175815924,1.01581008065908,0.28537078535426,1.01794486054569,0.202950125724941,0.00188938810221384,0.681382945404692,22.7966652556696,0.967644672418693,0.848413631393742,26.4787043506643,19.600167463161,31.2631530112824,FALSE
CD25 on memory B cell,24,0.969618586087727,0.0336437498525906,0.980317437722704,0.352189115808884,0.96950842776126,0.123692217480921,5.16191554091574e-05,0.99331872219464,25.8155771170563,0.30964944403023,0.877318283488222,33.9460355879376,19.5952265359883,23.525528931566,FALSE
Memory B cell %B cell,29,0.971137226231693,0.0381004211528889,0.958442964887795,0.0510068554011324,0.966389748354126,0.101434967626856,0.00196194684575585,0.746394013195952,31.4014438722029,0.299545937958952,0.754013542843108,23.5792417802567,19.6259319603213,21.5023208007178,FALSE
CD19 on IgD- CD38dim B cell,28,0.970119954635899,0.0455890504911928,0.989044312595301,0.611385980627991,0.980507421916603,0.39823542046767,-0.00356720373812402,0.547004755998733,23.5939120808967,0.652733824716872,0.893342924063342,23.9293516113564,19.5866051862673,20.7720423951431,FALSE
